team,rule_id,rule_name,total_checks,total_violations,violation_rate_pct
Team A,R01,First Response SLA,120,20,16.7
Team A,R02,Escalation Review SLA,36,4,11.1
Team A,R03,Resolution Acknowledgment SLA,120,10,8.3
Team A,R04,Customer Survey SLA,120,39,32.5
Team A,R05,Reassignment Response SLA,20,0,0.0
Team B,R01,First Response SLA,124,46,37.1
Team B,R02,Escalation Review SLA,34,18,52.9
Team B,R03,Resolution Acknowledgment SLA,124,42,33.9
Team B,R04,Customer Survey SLA,124,75,60.5
Team B,R05,Reassignment Response SLA,27,0,0.0
Team C,R01,First Response SLA,123,23,18.7
Team C,R02,Escalation Review SLA,38,12,31.6
Team C,R03,Resolution Acknowledgment SLA,123,17,13.8
Team C,R04,Customer Survey SLA,123,50,40.7
Team C,R05,Reassignment Response SLA,22,0,0.0
Team D,R01,First Response SLA,133,48,36.1
Team D,R02,Escalation Review SLA,43,12,27.9
Team D,R03,Resolution Acknowledgment SLA,133,49,36.8
Team D,R04,Customer Survey SLA,133,78,58.6
Team D,R05,Reassignment Response SLA,22,0,0.0
